semantic_model,session_index,session_id,token_id,book_frame_index,local_receive_time,updates_since_prior_book,full_book_equal,bid_equal,ask_equal,best_bid_equal,best_ask_equal,bid_diff_levels,ask_diff_levels,absolute_size_error,rebootstrap_after_check
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,779,2026-09-13T00:06:48.414284+00:00,20,False,False,False,True,True,2,9,14790.27,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,905,2026-09-13T00:06:50.359721+00:00,124,False,False,False,True,True,6,31,601709.32,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,921,2026-09-13T00:06:50.546152+00:00,15,False,True,False,True,True,0,7,2575.70,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,1307,2026-09-13T00:06:55.422072+00:00,361,False,False,False,True,False,16,45,1235526.08,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,1316,2026-09-13T00:06:55.422718+00:00,8,False,False,False,False,True,4,2,16132.21,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,1657,2026-09-13T00:07:00.624661+00:00,339,False,False,False,False,True,17,33,507396.08,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2139,2026-09-13T00:07:13.836745+00:00,471,False,False,False,True,True,15,32,912831.58,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2142,2026-09-13T00:07:13.921507+00:00,1,False,True,False,True,True,0,1,5901.00,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2162,2026-09-13T00:07:15.719781+00:00,17,False,False,False,True,True,1,4,56914.96,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2178,2026-09-13T00:07:18.051214+00:00,14,False,False,False,True,True,2,7,48303.84,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2182,2026-09-13T00:07:19.017406+00:00,2,False,True,False,True,True,0,2,6713.03,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2187,2026-09-13T00:07:19.175498+00:00,3,False,True,False,True,True,0,1,17594.89,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2199,2026-09-13T00:07:21.605909+00:00,10,False,False,False,True,True,3,3,71506.98,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2213,2026-09-13T00:07:22.880271+00:00,12,False,False,False,True,True,4,7,103355.92,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2256,2026-09-13T00:07:25.527769+00:00,39,False,False,False,True,True,7,14,263426.00,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2260,2026-09-13T00:07:25.631434+00:00,2,False,True,False,True,True,0,1,12714.72,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2268,2026-09-13T00:07:27.568153+00:00,5,False,False,False,True,True,3,2,15728.02,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2277,2026-09-13T00:07:30.719071+00:00,5,False,False,False,True,True,2,3,191468.27,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2281,2026-09-13T00:07:30.791708+00:00,2,False,False,False,True,True,1,1,13776.70,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2292,2026-09-13T00:07:32.458991+00:00,9,False,True,False,True,True,0,9,413528.23,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2307,2026-09-13T00:07:36.173769+00:00,9,False,False,False,True,True,2,4,192598.62,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2309,2026-09-13T00:07:36.201018+00:00,1,False,True,False,True,True,0,1,5355.19,True
