token_id,rest_local_receive_time,session_id,rest_best_bid,stream_best_bid,rest_best_ask,stream_best_ask,time_gap_ms,best_bid_equal,best_ask_equal,full_depth_equal,rest_hash,result,notes
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:04:15.855445+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.999,0.999,,,22624.6,True,True,True,77cab3838b443dae055c6ef7da5a38bf186a338c,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:04:15.956948+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.27,0.27,0.28,0.28,451.3,True,True,True,71f403d0e451802f94eba7910ab1799dd89379a0,MATCH,
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:04:31.060925+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.5,0.5,0.51,0.51,18189.2,True,True,True,bbda3d458eb86d550c489b42a922a7b7b44ee61f,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:04:31.154523+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.999,0.999,,,8172.8,True,True,True,d8f2a8296cd9a5d3dbbc0af54a78bdcbb2442589,MATCH,
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:04:31.252052+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.999,0.999,,,10208.8,True,True,True,93ce77f16390ea79652f562c396396706c92e679,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:04:31.347512+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.27,0.27,0.34,0.34,77.5,True,True,False,50ba06ad1e5c6963c89c46982694b6ed3a0387cf,TOP_OF_BOOK_MATCH,
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:04:46.457830+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.5,0.5,0.51,0.51,33586.2,True,True,True,bbda3d458eb86d550c489b42a922a7b7b44ee61f,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:04:46.556317+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.999,0.999,,,331.4,True,True,True,bfc61b4c7450f3efe872f9bbb53d13af7d7c6294,MATCH,
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:04:46.662214+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.999,0.999,,,5981.7,True,True,True,db2fce191e7a8ea1b44f0cdd4094a07f14ee4b78,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:04:46.753612+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.27,0.27,0.28,0.28,96.7,True,True,True,66bf908ca39b29b8a1495c97c0ce9d0fbb130ce3,MATCH,
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:05:01.862751+00:00,,0.5,,0.51,,,,,,bbda3d458eb86d550c489b42a922a7b7b44ee61f,NO_COMPARABLE_STREAM_STATE,REST observed outside any open session window
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:05:01.965806+00:00,,0.999,,,,,,,,b277280069c97587e2eea5fc86c6548d15584381,NO_COMPARABLE_STREAM_STATE,REST observed outside any open session window
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:05:02.068093+00:00,,0.999,,,,,,,,f896541a7e838426a419a6ed63cf711525a7c807,NO_COMPARABLE_STREAM_STATE,REST observed outside any open session window
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:05:02.180285+00:00,,0.27,,0.28,,,,,,10651217878d24cdfd787dfe4584400dfa4860c9,NO_COMPARABLE_STREAM_STATE,REST observed outside any open session window
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:05:17.313494+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.5,0.5,0.51,0.51,4285.8,True,True,True,b9d27b66453ea13ac8dae0b1c9e1a330b41fd9a1,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:05:17.415062+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.999,0.999,,,4437.1,True,True,True,0b88757ad3d08005410479676b72375e9a18f898,MATCH,
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:05:17.520012+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.999,0.999,,,2814.5,True,True,True,c0cfabf446700db1744c62d6157649ba8a69f172,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:05:17.626341+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.27,0.27,0.28,0.28,1027.6,True,True,False,156451af29cf24c5540e1c2aaafed2b809e61657,TOP_OF_BOOK_MATCH,
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:05:32.734676+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.5,0.5,0.51,0.51,19706.9,True,True,True,b9d27b66453ea13ac8dae0b1c9e1a330b41fd9a1,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:05:32.827383+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.999,0.999,,,19849.4,True,True,True,0b88757ad3d08005410479676b72375e9a18f898,MATCH,
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:05:32.922251+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.999,0.999,,,18216.8,True,True,True,c0cfabf446700db1744c62d6157649ba8a69f172,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:05:33.014733+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.27,0.27,0.28,0.28,1330.0,True,True,False,2826bbede21dcfaeadde383ac7d440327957050e,TOP_OF_BOOK_MATCH,
